GENESIS-Tabelle: 12111-0104
Bevölkerung (Zensus): Bundesländer, Stichtag, Geschlecht,;;;;;;;;;;;;;;;;;;
Altersgruppen;;;;;;;;;;;;;;;;;;
Zensus;;;;;;;;;;;;;;;;;;
Bevölkerung (Zensus) (Anzahl);;;;;;;;;;;;;;;;;;
;;;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer
;;;Schleswig-Holstein;Hamburg;Niedersachsen;Bremen;Nordrhein-Westfalen;Hessen;Rheinland-Pfalz;Baden-Württemberg;Bayern;Saarland;Berlin;Brandenburg;Mecklenburg-Vorpommern;Sachsen;Sachsen-Anhalt;Thüringen
09.05.2011;männlich;unter 3 Jahre;34369;24592;95455;8116;219530;78019;48641;138095;159792;10200;48501;29213;19405;52696;25912;25814
09.05.2011;männlich;3 bis unter 6 Jahre;36551;23535;101321;8144;228440;80210;50442;142779;163937;10769;44467;29470;18958;50586;25843;25394
09.05.2011;männlich;6 bis unter 15 Jahre;128582;68410;366871;25928;798541;264978;177253;493470;559735;39749;122315;90054;56409;140301;76669;75898
09.05.2011;männlich;15 bis unter 18 Jahre;45583;22247;131465;9005;284163;91457;65631;176760;201177;15378;37646;24240;14829;35027;20330;20285
09.05.2011;männlich;18 bis unter 25 Jahre;111361;65318;323085;29119;736897;241379;169751;461058;525372;41109;131625;91613;66738;155486;88834;86743
09.05.2011;männlich;25 bis unter 30 Jahre;71552;64069;211641;24073;515517;178645;114749;323892;380058;29367;129760;72452;54212;138113;72754;74552
09.05.2011;männlich;30 bis unter 40 Jahre;150860;131132;436107;41530;1011856;362051;219122;626092;761016;51824;233279;137005;93037;246539;130049;130777
09.05.2011;männlich;40 bis unter 50 Jahre;239649;143686;660603;51381;1487632;511159;336223;878952;1057019;81940;276984;216030;133248;316300;188136;176183
09.05.2011;männlich;50 bis unter 65 Jahre;277519;146514;783061;61356;1735256;594948;420293;1014073;1219132;111644;306935;282067;188063;429198;260092;249727
