character,parent,value,
Electrical Engineering / Information Technology,Master of Science,,
Economic Sciences,Master of Science,,
Lboratory Courses,Master of Science,11,
Industrial Internship,Master of Science,12,
Thesis,Master of Science,30,
Master's,Thesis,30,
Specialisation Eco.,Economic Sciences,33,
Elective Area,Electrical Engineering / Information Technology,11,
Specialisation: Mechatronics and Metrology,Electrical Engineering / Information Technology,20,
Brain Computer Interface for head mounted display,Master's,30,
Marketing (Major),Specialisation Eco.,14,
Economics (Major),Specialisation Eco.,14,
Production and Logistics (Minor),Specialisation Eco.,5,
Facility Management,Production and Logistics (Minor),2.5,
Energy- and resource-efficient Production,Production and Logistics (Minor),2.5,
Insurance Economics,Economics (Major),5,
Theory and Politics of Taxation,Economics (Major),5,
Slows income inequality economic growth,Economics (Major),4,
Consumer Bahavior,Marketing (Major),5,
Marketing Research,Marketing (Major),2.5,
International Marketing,Marketing (Major),2.5,
Acceptance of QR-code-ased feedback solution,Marketing (Major),4,
Robotics I - Technical and Mathematical Basics,Specialisation: Mechatronics and Metrology,5,
Robotics II - Programming Modelling Planning,Specialisation: Mechatronics and Metrology,5,
Precision Measuring Techniques,Specialisation: Mechatronics and Metrology,5,
Nanoelectronics,Specialisation: Mechatronics and Metrology,5,
Basics of Medicine for Engineers,Elective Area,5,
Bioanalysis,Elective Area,6,
Electrical Machine,Lboratory Courses,5,
Power Electronics,Lboratory Courses,5,
Robotics,Lboratory Courses,6,
add solution,Industrial Internship,12,
