character,parent,value,
Electrical Engineering / Information Technology,Master of Science,,
Economic Sciences,Master of Science,,
Thesis,Master of Science,,
Bachelor's,Thesis,,
Professionalisation - Integration Subjects,Master of Science,,
Fundamentals Eco.,Economic Sciences,,
Economics - Specialisation,Economic Sciences,,
Fundamentals El.,Electrical Engineering / Information Technology,,
Electrotechnical - Specialization,Electrical Engineering / Information Technology,,
Fundamentals of Mathematics and Natural Science,Master of Science,,
Mathematics I,Fundamentals of Mathematics and Natural Science,12,
Mathematics II,Fundamentals of Mathematics and Natural Science,12,
Mechanics and Thermics for Electrical Engineering,Fundamentals of Mathematics and Natural Science,6,
Fundamentals of Economics,Fundamentals Eco.,8,
Accounting,Fundamentals Eco.,5,
Fundamentals of Business Studies,Fundamentals Eco.,10,
Electrical Engineereing,Fundamentals El.,9,
Controll Engineereing,Fundamentals El.,5,
Electrics,Fundamentals El.,5,
Digital Systems Design,Fundamentals El.,7,
Electromagnetic Fields I,Fundamentals El.,5,
Basic Linear Circuit Theory,Fundamentals El.,13,
Energy Technology Basics,Fundamentals El.,5,
Informations Technology,Fundamentals El.,6,
Focus Economics,Economics - Specialisation,5,
Focus Finance,Economics - Specialisation,5,
Focus Production and Logistics,Economics - Specialisation,5,
Focus Marketing,Economics - Specialisation,5,
Digital Circuit Design,Electrotechnical - Specialization,5,
Industrial Internship,Master of Science,,
BioMedical Instruments,Industrial Internship,8,
Civil Law,Professionalisation - Integration Subjects,8,
Quantitative Methods in Economic Science,Professionalisation - Integration Subjects,8,
Professionalisation,Professionalisation - Integration Subjects,7,
Algorithms and Skills,Professionalisation - Integration Subjects,5,
Camera-based detection and classification of traffic signs,Bachelor's,12,
