character,parent,value,
Electrical Engineering / Information Technology,Master of Science,,
Specialisation: Mechatronics and Metrology,Electrical Engineering / Information Technology,,
Elective Area,Electrical Engineering / Information Technology,,
Economic Sciences,Master of Science,,
Specialisation,Economic Sciences,,
Thesis,Master of Science,,
Master's,Thesis,,
Lboratory Courses,Master of Science,,
Industrial Internship,Master of Science,,
Robotics I - Technical and Mathematical Basics,Specialisation: Mechatronics and Metrology,5,
Robotics II - Programming Modelling Planning,Specialisation: Mechatronics and Metrology,5,
Nanoelectronics,Specialisation: Mechatronics and Metrology,5,
Precision Measuring Techniques,Specialisation: Mechatronics and Metrology,5,
Basics of Medicine for Engineers,Elective Area,5,
Bioanalysis,Elective Area,6,
Marketing (Major),Economic Sciences,10,
Economics (Major),Economic Sciences,,
Production and Logistics (Minor),Economic Sciences,5,
Brain Computer Interface for head mounted display,Master's,30,
add solution,Industrial Internship,12,
Electrical Machine,Lboratory Courses,5,
Power Electronics,Lboratory Courses,5,
Robotics,Lboratory Courses,6,
Insurance Economics,Economics (Major),5,
Theory and Politics of Taxation,Economics (Major),5,
Energy- and resource-efficient Production,Production and Logistics (Minor),2.5,
Facility Management,Production and Logistics (Minor),2.5,
Consumer Bahavior,Marketing (Major),5,
Acceptance of QR-code-ased feedback solution,Marketing (Major),4,
Marketing Research,Marketing (Major),2.5,
International Marketing,Marketing (Major),2.5,
Slows income inequality economic growth,Economics (Major),4,
