character,parent,value,
Electrical Engineering / Information Technology,Master of Science,,
Specialisation: Mechatronics and Metrology,Electrical Engineering / Information Technology,,
Elective Area,Electrical Engineering / Information Technology,,
Economic Sciences,Master of Science,,
Specialisation,Economic Sciences,,
Thesis,Master of Science,,
Master's,Thesis,,
Lboratory Courses,Master of Science,,
Industrial Internship,Master of Science,,
Robotics I - Technical and Mathematical Basics,Specialisation: Mechatronics and Metrology,5,
Robotics II - Programming Modelling Planning,Specialisation: Mechatronics and Metrology,5,
Nanoelectronics,Specialisation: Mechatronics and Metrology,5,
Precision Measuring Techniques,Specialisation: Mechatronics and Metrology,5,
Basics of Medicine for Engineers,Elective Area,5,
Bioanalysis,Elective Area,6,
Marketing (Major),Economic Sciences,10,
Economics (Major),Economic Sciences,,
Production and Logistics (Minor),Economic Sciences,5,
Brain Computer Interface for head mounted display,Master's,30,
add solution,Industrial Internship,12,
Electrical Machine,Lboratory Courses,5,
Power Electronics,Lboratory Courses,5,
Robotics,Lboratory Courses,6,
Insurance Economics,Economics (Major),5,
Theory and Politics of Taxation,Economics (Major),5,
Energy- and resource-efficient Production,Production and Logistics (Minor),2.5,
Facility Management,Production and Logistics (Minor),2.5,
Consumer Bahavior,Marketing (Major),5,
Acceptance of QR-code-ased feedback solution,Marketing (Major),4,
Marketing Research,Marketing (Major),2.5,
International Marketing,Marketing (Major),2.5,
Slows income inequality economic growth,Economics (Major),4,
Electrical Engineering / Information Technology,Master of Science,,
Bachelor's,Thesis,,
Professionalisation - Integration Subjects,Master of Science,,
Fundamentals Eco.,Economic Sciences,,
Economics - Specialisation,Economic Sciences,,
Fundamentals El.,Electrical Engineering / Information Technology,,
Electrotechnical - Specialization,Electrical Engineering / Information Technology,,
Fundamentals of Mathematics and Natural Science,Master of Science,,
Mathematics I,Fundamentals of Mathematics and Natural Science,12,
Mathematics II,Fundamentals of Mathematics and Natural Science,12,
Mechanics and Thermics for Electrical Engineering,Fundamentals of Mathematics and Natural Science,6,
Fundamentals of Economics,Fundamentals Eco.,8,
Accounting,Fundamentals Eco.,5,
Fundamentals of Business Studies,Fundamentals Eco.,10,
Electrical Engineereing,Fundamentals El.,9,
Controll Engineereing,Fundamentals El.,5,
Electrics,Fundamentals El.,5,
Digital Systems Design,Fundamentals El.,7,
Electromagnetic Fields I,Fundamentals El.,5,
Basic Linear Circuit Theory,Fundamentals El.,13,
Energy Technology Basics,Fundamentals El.,5,
Informations Technology,Fundamentals El.,6,
Focus Economics,Economics - Specialisation,5,
Focus Finance,Economics - Specialisation,5,
Focus Production and Logistics,Economics - Specialisation,5,
Focus Marketing,Economics - Specialisation,5,
Digital Circuit Design,Electrotechnical - Specialization,5,
BioMedical Instruments,Industrial Internship,8,
Civil Law,Professionalisation - Integration Subjects,8,
Quantitative Methods in Economic Science,Professionalisation - Integration Subjects,8,
Professionalisation,Professionalisation - Integration Subjects,7,
Algorithms and Skills,Professionalisation - Integration Subjects,5,
Camera-based detection and classification of traffic signs,Bachelor's,12,
